date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-04-12,16.2,16.34,16.28,16.09,94713.82,0.06,0.37,15.916,15.643,15.673,91752.74,89425.6,81167.23,0.46
2018-04-11,16.04,16.34,16.2,16.04,80913.88,0.18,1.12,15.756,15.576,15.666,87236.96,89537.53,80722.12,0.39
2018-04-10,15.72,16.09,16.02,15.63,125015.55,0.39,2.5,15.564,15.479,15.681,84007.99,92129.17,82085.66,0.6
2018-04-09,15.43,15.64,15.63,15.31,67979.47,0.17,1.1,15.486,15.4,15.694,73228.62,92385.51,79911.58,0.33
2018-04-04,15.47,15.65,15.45,15.42,90140.96,-0.02,-0.13,15.446,15.391,15.721,80405.26,95170.74,79199.33,0.44
2018-04-03,15.04,15.48,15.48,15.02,72134.92,0.24,1.57,15.37,15.431,15.746,87098.46,91552.66,78254.99,0.35
2018-04-02,15.61,15.68,15.24,15.2,64769.07,-0.4,-2.56,15.396,15.47,15.787,91838.1,88476.05,79608.74,0.31
2018-03-30,15.43,15.77,15.63,15.35,71118.66,0.2,1.3,15.394,15.529,15.834,100250.34,87516.71,79227.2,0.34
2018-03-29,15.08,15.5,15.43,14.82,103862.7,0.37,2.46,15.314,15.561,15.864,111542.4,84382.35,78845.5,0.5
2018-03-28,15.4,15.68,15.07,14.99,123606.97,-0.54,-3.46,15.336,15.617,15.911,109936.21,78951.83,76622.32,0.6
2018-03-27,15.36,15.73,15.61,15.36,95833.08,0.38,2.5,15.492,15.703,15.977,96006.86,72908.86,75461.51,0.46
2018-03-26,15.18,15.38,15.23,14.92,106830.27,0.0,0.0,15.544,15.755,16.029,85114.01,71906.72,74942.2,0.52
2018-03-23,15.01,15.38,15.23,14.88,127578.97,-0.31,-2.0,15.664,15.883,16.117,74783.08,72042.15,76819.5,0.62
2018-03-22,15.83,15.93,15.54,15.45,95831.78,-0.29,-1.83,15.808,15.988,16.18,57222.3,67437.66,75042.4,0.46
2018-03-21,15.87,15.99,15.85,15.81,53960.18,-0.02,-0.13,15.898,16.05,16.232,47967.44,63227.92,75464.32,0.26
2018-03-20,15.72,15.95,15.87,15.7,41368.83,0.05,0.32,15.914,16.06,16.236,49810.86,64957.32,77828.56,0.2
2018-03-19,15.9,15.9,15.83,15.7,55175.63,-0.1,-0.63,15.966,16.104,16.223,58699.43,70741.44,82547.06,0.27
2018-03-16,16.0,16.2,15.95,15.9,39775.09,-0.04,-0.25,16.102,16.138,16.197,69301.23,70937.69,85848.46,0.19
2018-03-15,15.91,16.15,15.99,15.87,49557.45,0.05,0.31,16.168,16.167,16.145,77653.01,73308.65,101918.72,0.24
2018-03-14,16.14,16.14,15.93,15.85,63177.31,-0.2,-1.24,16.202,16.205,16.115,78488.41,74292.82,106957.78,0.31
2018-03-13,16.45,16.58,16.13,16.1,85811.68,-0.37,-2.24,16.206,16.25,16.093,80103.78,78014.17,116753.61,0.41
