,Irank,MovieName,WomIndex,avgboxoffice,avgshowcount,box_pro,boxoffice,days,releaseTime
0,1,红海行动,7.55,37,19,21.4,109727,31,2018-02-16
1,2,黑豹,6.98,36,17,12.9,66054,23,2018-03-09
2,3,环太平洋2：雷霆再起,6.87,36,16,10.7,54861,9,2018-03-23
3,4,唐人街探案2,7.00,36,16,10.1,51881,31,2018-02-16
4,5,古墓丽影：源起之战,6.73,35,14,9.5,48578,16,2018-03-16
5,6,厉害了，我的国,0.00,32,28,8.6,43893,30,2018-03-02
6,7,小萝莉的猴神大叔,7.56,31,17,5.5,28314,30,2018-03-02
7,8,头号玩家,7.76,36,33,4.8,24637,2,2018-03-30
8,9,比得兔,7.66,30,15,3.1,15775,30,2018-03-02
9,10,捉妖记2,6.43,37,12,2.3,11873,31,2018-02-16
10,999,其他,,33,9,10.9,55978,,
